	syllabic	consonantal	approximant	sonorant	continuant	nasal	voice	spread_glottis	labial	coronal	anterior	strident	lateral	dorsal	high	low	front	back	long
a	+	-	-	+	+	-	+	0	0	0	0	0	0	0	-	-	-	-	-
aa	+	-	-	+	+	-	+	0	0	0	0	0	0	0	-	+	-	-	+
i	+	-	-	+	+	-	+	0	0	0	0	0	0	0	+	-	+	-	-
ii	+	-	-	+	+	-	+	0	0	0	0	0	0	0	+	-	+	-	+
u	+	-	-	+	+	-	+	0	0	0	0	0	0	0	+	-	-	+	-
uu	+	-	-	+	+	-	+	0	0	0	0	0	0	0	+	-	-	+	+
e	+	-	-	+	+	-	+	0	0	0	0	0	0	0	-	-	+	-	-
o	+	-	-	+	+	-	+	0	0	0	0	0	0	0	-	-	-	+	-
R	+	-	+	+	+	-	+	-	-	+	-	0	-	-	0	0	0	0	-
RR	+	-	+	+	+	-	+	-	-	+	-	0	-	-	0	0	0	0	+
L	-	+	+	+	+	-	+	-	-	+	-	0	+	-	0	0	0	0	0
M	-	+	-	+	-	+	+	-	0	0	0	0	0	0	0	0	0	0	0
k	-	+	-	-	-	-	-	-	-	-	0	0	-	+	+	-	0	0	0
K	-	+	-	-	-	-	-	+	-	-	0	0	-	+	+	-	0	0	0
g	-	+	-	-	-	-	+	-	-	-	0	0	-	+	+	-	0	0	0
G	-	+	-	-	-	-	+	+	-	-	0	0	-	+	+	-	0	0	0
N	-	+	-	+	-	+	+	-	-	-	0	0	-	+	+	-	0	0	0
c	-	+	-	-	-	-	-	-	-	+	-	-	-	+	+	-	+	-	0
C	-	+	-	-	-	-	-	+	-	+	-	-	-	+	+	-	+	-	0
j	-	+	-	-	-	-	+	-	-	+	-	-	-	+	+	-	+	-	0
J	-	+	-	-	-	-	+	+	-	+	-	-	-	+	+	-	+	-	0
ny	-	+	-	+	-	+	+	-	-	+	-	-	-	+	+	-	+	-	0
t	-	+	-	-	-	-	-	-	-	+	+	-	-	-	0	0	0	0	0
T	-	+	-	-	-	-	-	+	-	+	+	-	-	-	0	0	0	0	0
d	-	+	-	-	-	-	+	-	-	+	+	-	-	-	0	0	0	0	0
D	-	+	-	-	-	-	+	+	-	+	+	-	-	-	0	0	0	0	0
n	-	+	-	+	-	+	+	-	-	+	+	-	-	-	0	0	0	0	0
t_	-	+	-	-	-	-	-	-	-	+	-	-	-	-	0	0	0	0	0
T_	-	+	-	-	-	-	-	+	-	+	-	-	-	-	0	0	0	0	0
d_	-	+	-	-	-	-	+	-	-	+	-	-	-	-	0	0	0	0	0
D_	-	+	-	-	-	-	+	+	-	+	-	-	-	-	0	0	0	0	0
n_	-	+	-	+	-	+	+	-	-	+	-	-	-	-	0	0	0	0	0
p	-	+	-	-	-	-	-	-	+	-	0	0	-	-	0	0	0	0	0
P	-	+	-	-	-	-	-	+	+	-	0	0	-	-	0	0	0	0	0
b	-	+	-	-	-	-	+	-	+	-	0	0	-	-	0	0	0	0	0
B	-	+	-	-	-	-	+	+	+	-	0	0	-	-	0	0	0	0	0
m	-	+	-	+	-	+	+	-	+	-	0	0	-	-	0	0	0	0	0
y	-	+	+	+	+	-	+	-	-	-	0	0	-	+	+	-	+	-	0
r	-	+	+	+	+	-	+	-	-	+	-	-	-	-	0	0	0	0	0
l	-	+	+	+	+	-	+	-	-	+	+	-	+	-	0	0	0	0	0
v	-	+	+	+	+	-	+	-	+	-	0	0	-	+	+	-	-	+	0
z	-	+	-	-	+	-	-	-	-	+	-	+	-	+	+	-	+	-	0
sh	-	+	-	-	+	-	-	-	-	+	-	+	-	-	0	0	0	0	0
s	-	+	-	-	+	-	-	-	-	+	+	+	-	-	0	0	0	0	0
h_	-	+	-	-	+	-	+	+	0	0	0	0	0	0	0	0	0	0	0
h	-	+	-	-	+	-	+	+	-	-	0	0	-	-	0	0	0	0	0
